thread_id,text,tag
2,"Let $ABC$ be a triangle, and $M$ an interior point such that $\angle MAB=10^\circ$, $\angle MBA=20^\circ$, $\angle MAC=40^\circ$ and $\angle MCA=30^\circ$. Prove that the triangle is isosceles.",['geometry']
3,"okay this one is from Prof. Mircea Lascu from Zalau, Romaniaand Prof. V. Cartoaje from  Ploiesti, Romania. It goes like this: given being a triangle ABC for every point M inside we construct the points AM, BM, CM on the circumcircle of the triangle ABC such that A,  AM, M are collinear and so on. Find the locus of these points M for which the area of the triangle AM BM CM is bigger than the area of the triangle ABC.","['algebra', 'geometry']"
5,"If A,B are invertible and the set {Ak - Bk | k is a natural number} is finite , then there exists a natural number m such that Am = Bm.",['algebra']
9,"In a magic square $n \times n$ composed from the numbers $1,2,\cdots,n^2$, the centers of any two squares are joined by a vector going from the smaller number to the bigger one.  Prove that the sum of all these vectors is zero.  (A magic square is a square matrix such that the sums of entries in all its rows and columns are equal.)","['algebra', 'combinatorics']"
72,"The lengths of the sides of a convex hexagon $ ABCDEF$ satisfy $ AB = BC$, $ CD = DE$, $ EF = FA$. Prove that:
\[ \frac {BC}{BE} + \frac {DE}{DA} + \frac {FA}{FC} \geq \frac {3}{2}.
\]",['geometry']
261,"Let $A$ be a $101$-element subset of the set $S=\{1,2,\ldots,1000000\}$. Prove that there exist numbers $t_1$, $t_2, \ldots, t_{100}$ in $S$ such that the sets  \[ A_j=\{x+t_j\mid x\in A\},\qquad j=1,2,\ldots,100  \]  are pairwise disjoint.",['combinatorics']
262,"Determine all pairs of positive integers $(a,b)$ such that  \[ \dfrac{a^2}{2ab^2-b^3+1}  \]  is a positive integer.",['number theory']
263,Each pair of opposite sides of a convex hexagon has the following property: the distance between their midpoints is equal to  $\dfrac{\sqrt{3}}{2}$ times the sum of their lengths. Prove that all the angles of the hexagon are equal.,['geometry']
264,"Let $ABCD$ be a cyclic quadrilateral. Let $P$, $Q$, $R$ be the feet of the perpendiculars from $D$ to the lines $BC$, $CA$, $AB$, respectively. Show that $PQ=QR$ if and only if the bisectors of $\angle ABC$ and $\angle ADC$ are concurrent with $AC$.",['geometry']
266,"Let $p$ be a prime number. Prove that there exists a prime number $q$ such that for every integer $n$, the number $n^p-p$ is not divisible by $q$.",['number theory']
567,Let $N$ be a point on the longest side $AC$ of a triangle $ABC$.  The perpendicular bisectors of $AN$ and $NC$ intersect $AB$ and $BC$ respectively in $K$ and $M$.  Prove that the circumcenter $O$ of $\triangle ABC$ lies on the circumcircle of triangle $KBM$.,['geometry']
611,"An $ n \times n$ matrix whose entries come from the set $ S = \{1, 2, \ldots , 2n - 1\}$ is called a [i]silver matrix[/i] if, for each $ i = 1, 2, \ldots , n$, the $ i$-th row and the $ i$-th column together contain all elements of $ S$. Show that:
(a)  there is no silver matrix for $ n = 1997$;
(b)  silver matrices exist for infinitely many values of $ n$.",['combinatorics']
768,"Let $ x$, $ y$, and $ z$ be non-negative real numbers satisfying $ x + y + z = 1$.  Show that
\[ x^2 y + y^2 z + z^2 x \leq \frac {4}{27}
\]
and find when equality occurs.",['algebra']
1321,"$ OA, OB, OC, OD$ are 4 rays in space such that the angle between any two is the same. Show that for a variable ray $ OX,$ the sum of the cosines of the angles $ XOA, XOB, XOC, XOD$ is constant and the sum of the squares of the cosines is also constant.",['geometry']
1422,"A student concentrates on solving quadratic equations in $\mathbb{R}$. He starts with a first quadratic equation $x^2 + ax + b = 0$ where $a$ and $b$ are both different from 0. If this first equation has solutions $p$ and $q$ with $p  \leq  q$, he forms a second quadratic equation $x^2 + px + q = 0$. If this second equation has solutions, he forms a third quadratic equation in an identical way. He continues this process as long as possible. Prove that he will not obtain more than five equations.",['algebra']
